State,Avg Daily Distance(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Rajasthan,31.1,Royal Enfield,Himalayan,"$300,522.00 ",2022,100,Petrol,33.09,Third,2022,Active,Dealer,"$183,173.61 ",Metro
Uttar Pradesh,33.33,KTM,RC 390,"$253,552.00 ",2016,100,Petrol,35.31,Third,2023,Not Available,Individual,"$123,681.76 ",Tier 3
West Bengal,75.99,Yamaha,MT-15,"$253,591.00 ",2015,100,Petrol,42.7,First,2015,Active,Dealer,"$124,114.47 ",Tier 1
Tamil Nadu,10.26,Honda,Shine,"$62,730.00 ",2020,100,Petrol,49.87,First,2020,Not Available,Dealer,"$35,366.21 ",Tier 1
Gujarat,71.65,Royal Enfield,Interceptor 650,"$77,234.00 ",2018,100,Petrol,50.24,Second,2021,Expired,Individual,"$42,684.10 ",Tier 2
Tamil Nadu,32.8,Hero,HF Deluxe,"$120,218.00 ",2023,100,Hybrid,64.98,Third,2024,Not Available,Individual,"$59,869.90 ",Metro
Punjab,15.59,KTM,Duke 200,"$120,491.00 ",2021,100,Electric,72.77,First,2021,Expired,Individual,"$69,487.59 ",Tier 3
Punjab,54.41,Yamaha,Ray ZR,"$354,017.00 ",2015,100,Hybrid,73.21,First,2015,Not Available,Individual,"$276,955.85 ",Metro
Delhi,65.27,Royal Enfield,Himalayan,"$53,636.00 ",2015,100,Hybrid,80.14,Second,2015,Expired,Individual,"$31,557.27 ",Tier 3
Delhi,45.7,Hero,HF Deluxe,"$388,205.00 ",2020,100,Electric,83.18,Third,2020,Expired,Dealer,"$218,951.07 ",Tier 2
Karnataka,59.89,Royal Enfield,Interceptor 650,"$101,299.00 ",2021,100,Electric,83.38,First,2021,Active,Dealer,"$57,727.11 ",Tier 2
Karnataka,50.18,Hero,Passion Pro,"$124,914.00 ",2022,100,Electric,96.91,First,2022,Active,Individual,"$97,067.86 ",Metro
Delhi,13.94,TVS,NTorq 125,"$285,453.00 ",2023,100,Electric,97.84,Third,2023,Active,Dealer,"$189,359.75 ",Tier 3
Maharashtra,26.65,KTM,250 Duke,"$337,856.00 ",2015,101,Petrol,41.33,Second,2022,Expired,Individual,"$209,641.69 ",Tier 3
Rajasthan,39.45,KTM,125 Duke,"$176,197.00 ",2022,101,Petrol,45.81,Third,2022,Active,Dealer,"$120,012.80 ",Metro
Rajasthan,48.69,Bajaj,Avenger 220,"$188,748.00 ",2024,101,Petrol,50.63,Third,2024,Not Available,Dealer,"$140,649.67 ",Tier 2
Delhi,30.05,Royal Enfield,Classic 350,"$123,696.00 ",2018,101,Petrol,55.87,First,2018,Active,Dealer,"$75,145.16 ",Tier 2
Uttar Pradesh,24.78,Yamaha,R15 V4,"$344,025.00 ",2017,101,Hybrid,71.13,First,2017,Active,Dealer,"$203,287.55 ",Tier 3
Punjab,19.32,KTM,250 Duke,"$302,815.00 ",2024,101,Hybrid,81.45,Third,2024,Not Available,Dealer,"$136,795.72 ",Metro
Karnataka,68.84,Yamaha,MT-15,"$295,107.00 ",2021,101,Hybrid,81.59,First,2021,Active,Dealer,"$169,577.91 ",Tier 2
Maharashtra,73.08,Honda,Activa,"$309,667.00 ",2023,101,Electric,89,Second,2023,Active,Dealer,"$214,995.64 ",Tier 3
Rajasthan,40.75,Kawasaki,Vulcan S,"$69,523.00 ",2017,101,Electric,98.55,Second,2022,Active,Dealer,"$49,121.35 ",Tier 1
Gujarat,27.91,Honda,CBR 650R,"$236,533.00 ",2022,102,Hybrid,66.28,First,2022,Not Available,Individual,"$122,857.78 ",Tier 1
Karnataka,35.35,Hero,Glamour,"$210,693.00 ",2019,102,Electric,66.75,Second,2024,Active,Individual,"$154,113.36 ",Tier 2
Punjab,20.03,Royal Enfield,Interceptor 650,"$378,483.00 ",2023,102,Hybrid,67.07,Second,2023,Not Available,Dealer,"$284,595.32 ",Tier 3
Karnataka,19.41,TVS,Sport,"$316,073.00 ",2021,102,Electric,68.12,Second,2023,Active,Dealer,"$129,796.06 ",Tier 3
Maharashtra,75.04,Royal Enfield,Hunter 350,"$219,423.00 ",2016,102,Hybrid,70.22,First,2016,Expired,Individual,"$133,870.31 ",Tier 3
Punjab,75.49,Kawasaki,Vulcan S,"$257,796.00 ",2021,102,Electric,75.64,First,2021,Expired,Dealer,"$176,082.79 ",Tier 1
Tamil Nadu,62.19,Kawasaki,Vulcan S,"$388,480.00 ",2017,102,Electric,79.3,First,2017,Active,Individual,"$202,959.03 ",Tier 3
Madhya Pradesh,24.69,Royal Enfield,Hunter 350,"$124,902.00 ",2021,102,Hybrid,95.25,First,2021,Active,Dealer,"$88,131.92 ",Tier 3
West Bengal,64.65,TVS,Sport,"$220,343.00 ",2015,102,Electric,97.92,Third,2022,Active,Dealer,"$91,269.34 ",Tier 3
Uttar Pradesh,33,Kawasaki,Z650,"$353,994.00 ",2021,103,Petrol,38.96,First,2021,Not Available,Individual,"$258,732.06 ",Tier 2
Tamil Nadu,35.49,Royal Enfield,Meteor 350,"$138,052.00 ",2015,103,Petrol,39.19,Third,2018,Not Available,Dealer,"$69,057.21 ",Metro
Rajasthan,8.18,Royal Enfield,Interceptor 650,"$222,887.00 ",2023,103,Petrol,42.12,First,2023,Not Available,Individual,"$137,282.69 ",Tier 3
Delhi,47.74,Honda,CBR 650R,"$206,199.00 ",2020,103,Electric,66.47,First,2020,Active,Dealer,"$106,277.34 ",Metro
Punjab,38.31,KTM,RC 390,"$340,454.00 ",2016,103,Hybrid,66.65,Second,2019,Expired,Individual,"$262,394.28 ",Tier 3
West Bengal,40.62,Bajaj,Avenger 220,"$299,998.00 ",2024,103,Electric,68.3,Second,2024,Expired,Individual,"$218,846.78 ",Tier 2
Delhi,33.86,TVS,Ronin,"$157,641.00 ",2020,103,Electric,75.41,Second,2022,Active,Dealer,"$101,759.45 ",Tier 3
Punjab,12.08,Royal Enfield,Meteor 350,"$363,345.00 ",2020,103,Electric,81.11,Second,2022,Not Available,Dealer,"$215,422.79 ",Tier 2
Delhi,10.57,Kawasaki,Vulcan S,"$267,063.00 ",2023,103,Electric,83.71,Second,2023,Active,Individual,"$175,230.24 ",Tier 1
Gujarat,16.57,Bajaj,Platina 110,"$346,101.00 ",2021,103,Hybrid,84.5,Second,2023,Active,Dealer,"$220,036.70 ",Tier 1
Delhi,74.23,Yamaha,MT-15,"$390,862.00 ",2015,103,Hybrid,86.39,First,2015,Active,Individual,"$287,779.04 ",Tier 1
Maharashtra,34.01,Kawasaki,Ninja 400,"$95,038.00 ",2016,103,Electric,86.92,Third,2020,Not Available,Dealer,"$48,365.87 ",Metro
Gujarat,27.77,KTM,125 Duke,"$264,566.00 ",2021,103,Electric,90.55,Third,2022,Active,Dealer,"$178,315.22 ",Tier 3
West Bengal,17.41,Honda,Activa,"$57,344.00 ",2019,104,Petrol,42.88,Second,2024,Active,Dealer,"$35,278.19 ",Tier 2
Rajasthan,12.78,TVS,Sport,"$241,758.00 ",2016,104,Petrol,45.38,First,2016,Not Available,Individual,"$98,352.55 ",Tier 2
Maharashtra,52.64,Bajaj,Dominar 400,"$120,795.00 ",2023,104,Petrol,58.81,Second,2023,Expired,Dealer,"$70,308.44 ",Tier 3
