State,Avg Daily Distance(Km),Avg Daily Distance levels(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Engin Capacity Groups,Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Rajasthan,31.1,Moderate Usage,Royal Enfield,Himalayan,"$300,522.00 ",2022,100,0-150 cc,Petrol,33.09,Third,2022,Active,Dealer,"$183,173.61 ",Metro
Uttar Pradesh,33.33,Moderate Usage,KTM,RC 390,"$253,552.00 ",2016,100,0-150 cc,Petrol,35.31,Third,2023,Not Available,Individual,"$123,681.76 ",Tier 3
West Bengal,75.99,High Usage,Yamaha,MT-15,"$253,591.00 ",2015,100,0-150 cc,Petrol,42.7,First,2015,Active,Dealer,"$124,114.47 ",Tier 1
Tamil Nadu,10.26,Lower Usage,Honda,Shine,"$62,730.00 ",2020,100,0-150 cc,Petrol,49.87,First,2020,Not Available,Dealer,"$35,366.21 ",Tier 1
Gujarat,71.65,High Usage,Royal Enfield,Interceptor 650,"$77,234.00 ",2018,100,0-150 cc,Petrol,50.24,Second,2021,Expired,Individual,"$42,684.10 ",Tier 2
Tamil Nadu,32.8,Moderate Usage,Hero,HF Deluxe,"$120,218.00 ",2023,100,0-150 cc,Hybrid,64.98,Third,2024,Not Available,Individual,"$59,869.90 ",Metro
Punjab,15.59,Lower Usage,KTM,Duke 200,"$120,491.00 ",2021,100,0-150 cc,Electric,72.77,First,2021,Expired,Individual,"$69,487.59 ",Tier 3
Punjab,54.41,High Usage,Yamaha,Ray ZR,"$354,017.00 ",2015,100,0-150 cc,Hybrid,73.21,First,2015,Not Available,Individual,"$276,955.85 ",Metro
Delhi,65.27,High Usage,Royal Enfield,Himalayan,"$53,636.00 ",2015,100,0-150 cc,Hybrid,80.14,Second,2015,Expired,Individual,"$31,557.27 ",Tier 3
Delhi,45.7,High Usage,Hero,HF Deluxe,"$388,205.00 ",2020,100,0-150 cc,Electric,83.18,Third,2020,Expired,Dealer,"$218,951.07 ",Tier 2
Karnataka,59.89,High Usage,Royal Enfield,Interceptor 650,"$101,299.00 ",2021,100,0-150 cc,Electric,83.38,First,2021,Active,Dealer,"$57,727.11 ",Tier 2
